Date,Campaign ID,Keyword,Cost,CPC
2021-10-04,1646440683,internet hogar TvCO,-1021512,4399.22
2021-10-15,1646440683,internet TvCO hogar,-1021181,4211.38
2021-10-25,1646440683,internet TvCO,-1021342,2898.13
2021-09-01,1646440648,planes TvCO hogar,-1022222,1813.31
2021-09-14,1646440683,TvCO internet hogar precios,-1022440,4110.19
2021-10-07,1646440683,internet TvCO hogar,-1023833,3333.9
2021-09-07,1646440683,TvCO internet hogar precios,-1024032,1133.38
2021-09-20,1646440648,planes TvCO hogar,-1024434,2311.21
2021-09-11,1646440683,internet TvCO,-1025113,3421.4
2021-10-13,1646440683,internet TvCO,-1025425,3211.02
2021-10-01,1646440683,internet hogar TvCO,-1021508,3320.34
2021-10-29,14832003666,numero TvCO,-1023231,1213.33
2021-10-21,14832003666,TvCO plan hogar,-1028420,2128.2
2021-12-03,1646440683,TvCO internet,-1032424,1992.31
2021-10-14,1646440683,internet TvCO hogar,-1031414,4082.81
2021-09-27,1646440683,internet TvCO hogar,-1033210,3401.48
2021-10-19,1646440683,TvCO internet,-1033223,1111.41
2021-10-15,1646440683,internet TvCO,-1033128,4033.22
2021-09-01,1646440683,internet hogar TvCO,-1038383,3922.21
2021-12-12,1646440683,TvCO tv,-1032432,1938.31
2021-09-10,1646440648,planes TvCO hogar,-1032501,2388.11
2021-09-13,1646440648,planes TvCO hogar,-1032112,3031.88
2021-12-02,1646440683,TvCO internet,-1040814,2023.34
2021-11-19,1646440683,TvCO internet,-1041428,2434.81
2021-09-03,1646440648,planes TvCO hogar,-1041522,2049.8
2021-09-11,1646440683,internet TvCO hogar,-1043805,4834.23
2021-09-09,1646440648,planes TvCO hogar,-1044181,2189.43
2021-12-13,1646440683,televisión TvCO hogar,-1045425,2143.39
2021-12-21,1646440683,televisión TvCO hogar,-1045503,2101.33
2021-12-16,1646440683,TvCO internet,-1045540,1983.29
2021-10-27,1646440683,internet TvCO hogar,-1043022,4182.29
2021-09-15,1646440683,internet TvCO hogar,-1043423,3220.12
2021-09-30,1646440683,internet TvCO hogar,-1043125,4212.83
2021-09-04,1646440683,internet hogar TvCO,-1048032,4392.23
2021-09-04,1646440683,TvCO tv,-1042352,2312.19
2021-09-11,1646440683,internet hogar TvCO,-1051342,4191.39
2021-10-08,1646440683,internet TvCO,-1052032,2918.49
2021-11-21,1646440683,TvCO tv,-1052188,1940.21
2021-10-28,1646440683,internet TvCO hogar,-1052814,3212.48
2021-10-05,1646440683,internet TvCO hogar,-1052881,3392.12
2021-12-01,1646440683,TvCO internet,-1052882,1831.03
2021-10-20,1646440683,TvCO internet,-1052223,1210.23
2021-10-23,14832003666,TvCO plan hogar,-1054811,2111.32
2021-11-23,1646440683,TvCO tv,-1055010,2113.81
2021-10-26,1646440683,internet TvCO,-1055242,3488.92
